programming_language_id,programming_language,developer,date_released,purpose,region,multi_regional,source_ids,source_page_references,primary_source_ids,primary_source_page_references
PLID0,Binary,,,Hardware-Level Programming,,,,,,
PLID1,Assembly,,,Hardware-Level Programming,,,,,,
PLID2,FORTRAN,,,Formula-Translation,,,,,,
PLID3,C,,,Systems Programming,,,,,,
PLID4,C++,,,Systems Programming,,,,,,
PLID5,Java,,,Object-Oriented Programming,,,,,,
PLID6,C#,,,Object-Oriented Programming,,,,,,
PLID7,JavaScript,,,"Functional Programming, Object-Oriented Programming",,,,,,
PLID8,Python,,,"Functional Programming, Object-Oriented Programming",,,,,,
PLID9,LaTeX,,,Documentation,,,,,,
PLID10,R,,,Data Analysis,,,,,,
PLID11,Rust,,,Systems Programming,,,,,,
PLID12,Q#,,,Quantum Systems Programming,,,,,,
PLID13,Go,,,,,,,,,
PLID14,Silq,,,Quantum Systems Programming,,,,,,
