mathematician_id,mathematician_name,gender,ethnicity,lifetime,occupations,institutions,regions,notable_achievements,research,education,model,model_image,quotes,num_of_corroborative_sources,source_ids,source_page_references,primary_source_ids,primary_source_page_references
MID0,Barbara Canright,Female,American,null,"Mathematician, Computer","Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory",The United States of America,Contributed to the development of the first American rocket-powered airplane,"Thrust-to-Weight Ratio in Rocket Engines, Jet-Assisted Takeoff, Solid Rocket Propellant, Liquid Rocket Propellant",Occidental College,null,null,null,1,C23A3,p.13-26,null,null
MID1,Freeman Kincaid,Female,American,null,"Mathematician, Computer","Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory",The United States of America,null,"Solid Rocket Propellant, Liquid Rocket Propellant",null,null,null,null,1,C23A3,p.26-30,null,null
MID2,Melba Nead,Female,American,null,"Mathematician, Computer","Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory",The United States of America,null,"Solid Rocket Propellant, Liquid Rocket Propellant",null,null,null,null,1,C23A3,p.27-30,null,null
MID3,Virginia Prettyman,Female,American,null,"Mathematician, Computer","Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory",The United States of America,null,"Solid Rocket Propellant, Liquid Rocket Propellant",null,null,null,null,1,C23A3,p.26-30,null,null
MID4,Macie Roberts,Female,American,null,"Mathematician, Computer, Supervisor of Computing at JPL","Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory",The United States of America,null,"Solid Rocket Propellant, Liquid Rocket Propellant",null,null,null,null,1,C23A3,p.27-34,null,null
MID5,Barbara Lewis Paulson,Female,American,null,"Mathematician, Computer","Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory",The United States of America,,,,null,null,null,1,C23A3,p.39-42,null,null
MID6,Janez Lawson,Female,African-American,null,"Mathematician, Computer, Chemical Engineer","Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory",The United States of America,,,,,,,,,,,
MID7,Helen Yee Ling Chow,Female,Hong Kong-American,null,"Mathematician, Computer","Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory","Hong Kong, The United States of America",null,Rocket-stabilization,"Canton College, University of Notre Dame",null,null,null,1,C23A3,p.36-39,null,null
MID8,Susan Finley,Female,American,null,"Mathematician, Computer","Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory",The United States of America,,,,,,,,,,,
MID9,Coralie Pearson,Female,American,null,"Mathematician, Computer","Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory",The United States of America,,,,,,,,,,,
MID10,Marie Crowley,Female,American,null,"Mathematician, Computer, Data Scientist, Chemical Engineer","Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory, Aerojet-Rocketdyne",The United States of America,,"Rocket Engine Nozzle Ratio, Liquid Propellant Combat Applications",,,,,,,,,
MID11,Ginny Swanson Anderson,Female,American,,,"Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory, Aerojet-Rocketdyne",The United States of America,,,,,,,,,,,
MID12,Margie Behrens,Female,American,,,"Guggenheim Aeronautical Laboratory at the California Institute of Technology, Jet Propulsion Laborartory, Aerojet-Rocketdyne",The United States of America,,,,,,,,,,,
MID13,Sylvia Lundy Miller,Female,American,,,,The United States of America,,,,,,,,,,,
MID14,Richard Canright,Male,American,null,"Mathematician, Computer, Engineer","GALCIT, JPL",The United States of America,Contributed to the development of the first American rocket-powered airplane,"Jet-Assisted Takeoff (Rocket Plane), Solid Rocket Propellants, Liquid Rocket Propellants",CALTECH,null,null,null,1,C23A3,p.14-26,null,null
MID15,Susan Greene,Female,American,null,"Mathematician, Computer",Convair,The United States of America,,,"Scripps College, Claremont College",,,,1,C23A3,p.42-45,null,null
MID16,John Venn,Male,English,1834-1923,"Mathematician, Logician",,The United Kingdom,,Venn Diagrams,,,,,1,C23A8,p.22,null,null
MID17,Bertrand Russell,Male,,1972-1970,"Mathematician, Philosopher",,,,Russell's Paradox,,,,,1,C23A8,p.32,,
MID18,Pierre Fermat,Male,French,"[1600, 1700)",Mathematician,,France,,Fermat's Last Theorem,,,,,1,C23A8,p.37,,
MID19,Christian Goldbach,Male,German,"[1700, 1800)",Mathematician,,Germany,,Goldbach Conjecture,,,,,1,C23A8,p.37,,
MID20,George Boole,Male,English,1815-1864,"Mathematician, Logician, Professor",,The United Kingdom,Works led to the creation of a new branch of mathematics called Boolean Algebra,"Boolean Logic, Boolean Algebra",Self-taught,,,,1,C23A9,p.5,,
