source_id,source_reliability_rating,source_title,journal,volume,chapter,number,website_article_url,archeological_site,witnesses,authors,publisher,website_name,website_url,city_published,regions,original_language,isbn,year_published,original_year_published_bce,original_year_published_ad,source_type,contemporary,primary_source_id,,,,,,,,,,,,,,,,,,
C23A1,76,Ancient Engineers,null,null,1-9,null,,null,null,L Sprague De Camp,Barns & Noble Books,,,New York City,The United States of America,English,0-88029-456-6,1993,null,1993,E-Book,TRUE,null,,,,,,,,,,,,,,,,,,
C23A2,null,Where are the Women in Engineering: A Century Old Story,Institution of Engineering & Technology,null,null,null,,null,null,"Emily Rees,  Graeme Gooday",Institution of Engineering & Technology,,,null,null,English,null,2019,null,2019,Article,TRUE,null,,,,,,,,,,,,,,,,,,
P23A1,null,The Woman Engineer,null,1,null,1-2,,null,null,Iris A. Cummins,The Women's Engineering Society,,,London,The United Kingdom,English,null,1919,null,1919,Article,FALSE,P23A1,,,,,,,,,,,,,,,,,,
C23A3,null,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",null,null,null,null,,null,null,Nathalia Holt,Little Brown and Company,,,"New York, Boston, London",The United States of America,English,978-0-316-33891-2,2016,null,2016,E-Book,TRUE,null,,,,,,,,,,,,,,,,,,
C23A4,null,The Evolution of the Spacesuit!,null,null,null,null,,null,null,The Space Race (Channel),The Space Race,,,null,null,English,null,2023,null,2023,Video,null,null,,,,,,,,,,,,,,,,,,
P23A2,null,History of Egypt,null,null,null,null,,null,null,Manetho,null,,,null,Ancient Egypt,Greek,null,null,null,null,Book,FALSE,P23A2,,,,,,,,,,,,,,,,,,
P23A3,27,Inscription of Khnumabra,null,null,null,null,,null,null,Khnumabra,null,,,Memphis,Ancient Egypt,Hieroglyphic,null,null,490,null,Inscription,FALSE,P23A3,,,,,,,,,,,,,,,,,,
P23A4,null,Firsthand Witness Testimony of Manetho,null,null,null,null,,null,Manetho,null,null,,,null,null,null,null,null,null,null,Eyewitness Testimony,FALSE,P23A4,,,,,,,,,,,,,,,,,,
P23A5,null,Firsthand Witness Testimony of Herodotos,null,null,null,null,,null,Herodotos,null,null,,,null,null,null,null,null,null,null,Eyewitness Testimony,FALSE,P23A5,,,,,,,,,,,,,,,,,,
P23A6,null,Stone Paintings in Khuit-Khufu (Great Pyramid),null,null,null,null,,Interior of Khuit-Khufu (Great Pyramid),null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Inscription,FALSE,P23A6,,,,,,,,,,,,,,,,,,
C23A5,null,The Old Kingdom in Egypt and the Beginning of the First Intermediate Period,The Cambridge Ancient History,1,14,null,,null,null,W. Stevenson Smith,The Syndics of the Cambridge University Press,,,"London, New York, Ibadan",The United Kingdom,English,null,1962,null,1962,Journal Article,TRUE,null,,,,,,,,,,,,,,,,,,
P23A7,null,Ptolemaic Inscription on the Island of Sihei,null,null,null,null,,null,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Inscription,FALSE,P23A7,,,,,,,,,,,,,,,,,,
P23A8,null,Wall Scribblings of Eighteenth Dynasty visitors to the Step Pyramid,null,null,null,null,,null,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,1550-1295 BCE,1550-1295 BCE,null,Inscription,FALSE,P23A8,,,,,,,,,,,,,,,,,,
P23A9,null,Inscription on statue-base of King Djoser,null,null,null,null,,Excavations of the Step Pyramid,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Inscription,FALSE,P23A9,,,,,,,,,,,,,,,,,,
P23A10,null,Seal of an official of Netjerykhet at Gallery III,null,null,null,null,,Gallery III,null,Possibly Imhotep,null,,,null,Ancient Egypt,Hieroglyphic,null,null,null,null,Seal,FALSE,P23A10,,,,,,,,,,,,,,,,,,
P23A11,null,Turin Canon,null,null,null,null,,null,null,null,null,,,null,Ancient Egypt,Hieratic Script,null,1295-1186 BCE,1295-1186 BCE,null,List of Records,FALSE,P23A11,,,,,,,,,,,,,,,,,,
P23A12,null,List in the Abydos Temple of Sethos I,null,null,null,null,,Temple of Sethos I,null,null,null,,,null,Ancient Egypt,Hieroglyphic,null,1295-1186 BCE,1295-1186 BCE,null,List of Records,FALSE,P23A12,,,,,,,,,,,,,,,,,,
P23A13,null,Westcar Papyrus,null,null,null,null,,null,null,null,null,,,null,null,null,null,null,null,null,Papyrus Record,FALSE,P23A13,,,,,,,,,,,,,,,,,,
