structure_id,date_constructed_bce,date_constructed_ad,structure_name,renovation_of_previous_structure,previous_structure,iteration_on_previous_structure,architectural_complexity,structural_dimensions,statue,wall,stairwell_staircase,structural_support,building,castle,gallery,temple,tomb,bridge,canal system,dam,building_material,structural_integrity,structural_preservation,architects,wonder,model,model_image,regions,num_of_corroborative_sources,source_ids,source_page_references,primary_source_ids,primary_source_page _references
SID0,null,null,River Valley Canal System,null,null,null,null,null,FALSE,FALSE,null,null,FALSE,null,null,null,FALSE,FALSE,TRUE,FALSE,null,null,null,null,null,null,null,Babylon,null,C23A1,p.20,null,null
SID1,null,null,Cyclopean Walls,null,null,null,null,null,FALSE,TRUE,null,null,FALSE,null,null,null,FALSE,FALSE,FALSE,FALSE,null,null,null,null,null,null,null,Greece,null,C23A1,p.21,null,null
SID2,null,null,Brooklyn Bridge,null,null,null,null,null,FALSE,FALSE,null,null,FALSE,null,null,null,FALSE,TRUE,FALSE,FALSE,null,null,null,John Augustus Roebling,null,null,null,The United States of America,null,C23A1,p.27,null,null
SID3,null,null,Panama Canal,null,null,null,null,null,FALSE,FALSE,null,null,FALSE,null,null,null,FALSE,FALSE,TRUE,FALSE,null,null,null,George W. Goethals,null,null,null,null,null,C23A1,p.27,null,null
SID4,null,null,Rectangle Mastaba,null,null,null,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,Mud Brick,null,null,null,null,null,null,Egypt,null,C23A1,p.31-32,null,null
SID5,null,null,The Hanging Gardens,null,null,null,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,FALSE,FALSE,FALSE,FALSE,null,null,null,null,TRUE,null,null,Babylon,null,C23A1,p.29,null,null
SID6,null,null,The Statue of Zeus,null,null,null,null,null,TRUE,FALSE,null,null,FALSE,null,null,null,FALSE,FALSE,FALSE,FALSE,null,null,null,Pheidias,TRUE,null,null,"Olympia, Ancient Greece",null,C23A1,p.29,null,null
SID7,null,null,The Temple of Artemis,null,null,null,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,FALSE,FALSE,FALSE,FALSE,null,null,null,null,TRUE,null,null,"Ephesos, Ancient Greece",null,C23A1,p.29,null,null
SID8,null,null,The Tomb of King Mausolos of Karia,null,null,null,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,null,null,null,null,TRUE,null,null,Halikarnassos,null,C23A1,p.29,null,null
SID9,null,null,The Colossus of Rhodes,null,null,null,null,null,TRUE,FALSE,null,null,FALSE,null,null,null,FALSE,FALSE,FALSE,FALSE,null,null,null,null,TRUE,null,null,Ancient Greece,null,C23A1,p.29,null,null
SID10,null,null,The Lighthouse of Alexandria,null,null,null,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,FALSE,FALSE,FALSE,FALSE,null,null,null,null,TRUE,null,null,Ancient Alexandria,null,C23A1,p.29,null,null
SID11,null,null,The Walls of Babylon,null,null,null,null,null,FALSE,TRUE,null,null,FALSE,null,null,null,FALSE,FALSE,FALSE,FALSE,null,null,null,null,TRUE,null,null,Ancient Babylonia,null,C23A1,p.29,null,null
SID12,null,null,The Temple of Jupiter,null,null,null,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,FALSE,FALSE,FALSE,FALSE,null,null,null,null,TRUE,null,null,Ancient Rome,null,C23A1,p.29,null,null
SID13,null,null,The Great Wall of China,null,null,null,null,null,FALSE,TRUE,null,null,FALSE,null,null,null,FALSE,FALSE,FALSE,FALSE,null,null,null,null,TRUE,null,null,Ancient China,null,C23A1,p.29,null,null
SID14,null,null,The Dam at Ma'rib,null,null,null,null,null,FALSE,FALSE,null,null,FALSE,null,null,null,FALSE,FALSE,FALSE,TRUE,null,null,null,null,TRUE,null,null,Arabia,null,C23A1,p.29,null,null
SID15,null,null,The Bhuddist Stupas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,null,null,Ceylon,null,C23A1,p.29,null,null
SID16,3000,null,The Wall of the City of Men-nofer (Memphis),FALSE,null,FALSE,null,Height: 40 ft,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Brick, Gypsum Plaster, Limestone",null,null,King Mena,FALSE,null,null,Ancient Egypt,null,C23A1,p.29-30,null,null
SID17,3000,null,Stone Statues of Men-nofer (Memphis),FALSE,null,FALSE,null,Height: 30 - 75 ft,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,(P)*Limestone,null,null,King Mena,FALSE,null,null,Ancient Egypt,null,C23A1,p.29,null,null
SID18,3000,null,The White Castle of the City of Men-nofer  (Memphis),FALSE,null,FALSE,null,null,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,(P)*Limestone,null,null,King Mena,FALSE,null,null,Ancient Egypt,null,C23A1,p.30,null,null
